filiacao,familiares,familiares_quais,motivacao,tempo_existencia,peso_escolha,qualidade_programa,qualidade_lideres_nacionais,qualidade_lideres_regionais,bancadas_congresso,bancadas_estaduais_municipais,agenda_partido,agricultura_pecuária,educação,esportes_lazer,infraestrutura_urbana,saude,trabalho_emprego,transportes_publicos,artes_cultura,ciencia_tecnologia_inovacao,combate_homofobia,combate_racismo,igualdade_genero,meio_ambiente,representacao_mulheres_política,atividades_partido,atividades_formacao_politica,atuacao_campanhas_eleitorais,atuacao_campanhas_filiacao,cargos_administracao,concorrer_eleicao,cargos_pretende_concorrer,experiencia_importante,experiencia_comentario,idade,renda_familiar_mensal,escolaridade,area_formacao,religiao,situacao_ocupacional,setor_ocupacao,cor_raca,local_residencia,regiao_residencia,partido,espectro,materialista,pos_materialista,agenda,filiacao_familiar,filiacao_estudantil,filiacao_social,interior,metropolitana,capital,influencia_filiacao,espectro_binario,sexo,ponderacao
4,2,1,22,3,1,5,5,5,5,5,5,5,5,1,4,5,5,4,1,3,1,1,1,1,1,15,34,1,1,2,2,1,7,1,2,5,5,1,3,2,5,4,4,4,13,40,4.666666666666667,1.25,1,0,0,0,0,1,0, ,0,1,1.1039
4,2,1,4,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,3,3,3,2,4,3,29,1,1,3,3,9,3,1,3,2,3,1,4,2,2,2,4,5,24,40,5,2.75,1,0,0,0,0,1,0, ,0,1,1.1039
4,3,5,19,3,1,5,5,5,5,5,5,2,4,1,4,4,5,4,1,2,2,3,3,2,3,40,32,3,3,3,3,7,3,48,1,5,2,1,3,1,1,4,4,3,33,40,3.8333333333333335,2125,1,0,0,0,0,1,0, ,0,1,1.1039
4,2,1,22,2,1,5,5,5,5,5,5,5,5,3,5,5,5,5,2,3,2,2,2,3,2,1,34,1,4,1,1,1,3,35,2,6,6,1,6,3,1,4,4,4,36,40,5,2375,1,0,0,0,0,1,0, ,0,1,1.1039
5,3,2,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,2,2,5,1,3,21,34,1,1,3,3,2,7,1,3,2,5,1,2,2,4,1,4,5,11,40,5,3,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,2,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,1,1,3,1,3,19,32,1,1,3,3,2,7,1,3,2,5,1,2,2,4,1,4,4,11,40,5,2,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,3,22,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,2,4,1,2,3,1,3,6,34,1,1,3,3,10,7,1,3,5,5,1,2,2,4,1,4,5,11,40,5,2125,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,5,22,1,1,5,5,5,5,5,5,5,5,1,4,5,5,3,1,1,1,1,1,1,1,10,34,1,1,3,3,2,7,1,2,2,4,4,3,2,4,2,4,2,11,40,4.5,1,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,5,22,1,1,5,5,5,5,5,5,5,5,1,3,5,4,4,1,1,1,1,1,1,1,15,34,1,1,3,3,2,2,1,1,5,2,1,2,4,1,2,4,4,11,40,4.333333333333333,1,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,2,22,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,4,1,1,1,1,1,4,34,1,1,3,3,3,7,1,3,2,3,1,6,2,2,2,4,4,24,40,5,1375,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,3,22,3,1,5,5,5,5,5,5,5,5,1,5,5,5,5,1,4,1,1,1,1,1,1,29,1,1,3,3,3,7,1,3,4,5,1,4,1,1,2,4,4,24,40,5,1375,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,5,22,3,1,5,5,5,5,5,5,5,5,1,3,5,5,5,1,1,1,1,1,1,1,1,34,1,1,2,2,1,7,1,2,2,6,1,2,3,1,2,4,2,30,40,4.666666666666667,1,1,1,0,0,0,1,0,1,0,1,1.1039
5,3,2,22,3,1,5,5,5,5,5,5,3,5,2,5,3,5,4,1,3,3,3,3,3,3,3,2,1,1,3,3,7,3,66,2,2,2,1,5,1,1,4,4,4,33,40,4.166666666666667,2625,1,1,0,0,0,1,0,1,0,1,1.1039
6,2,1,4,3,1,5,5,5,5,5,5,3,5,2,4,5,5,5,2,3,3,3,3,2,2,28,18,4,5,1,1,1,7,112,3,5,4,4,3,1,1,4,4,4,13,40,4.5,2.5,1,0,0,0,0,1,0, ,0,1,1.1039
6,2,1,16,3,1,5,5,5,5,5,5,1,5,1,5,5,5,5,3,5,3,3,5,5,5,6,3,1,1,3,3,11,3,2,3,2,3,1,4,2,4,2,4,4,34,40,4.333333333333333,3.75,1,0,0,0,0,1,0, ,0,1,1.1039
6,2,1,4,3,1,5,5,5,5,5,5,2,5,3,4,5,5,5,3,4,3,3,4,5,3,4,1,1,1,3,3,7,7,1,2,5,2,1,3,1,1,2,4,4,34,40,4.333333333333333,3.5,1,0,0,0,0,1,0, ,0,1,1.1039
6,2,1,4,3,1,5,5,5,5,5,5,1,5,1,5,5,5,5,2,4,3,3,3,3,3,5,1,4,5,3,3,8,7,23,2,5,2,1,3,3,1,5,4,3,34,40,4.333333333333333,2.75,1,0,0,0,0,1,0, ,0,1,1.1039
4,2,1,10,3,3,5,5,5,5,5,5,1,5,3,4,5,5,4,3,3,5,5,5,3,5,7,10,4,5,2,2,1,7,1,2,6,2,1,6,3,1,2,1,4,5,15,4,4, ,0,0,0,0,0,1, ,1,1,708
6,2,1,4,3,3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,32,5,7,3,3,7,3,106,1,5,2,1,6,4,1,4,1,4,27,15,4.666666666666667,5,2,0,0,0,0,0,1, ,1,1,708
2,2,1,4,1,3,5,5,5,5,5,5,2,5,2,4,4,5,4,2,3,3,3,3,3,3,3,10,4,5,2,2,1,7,105,3,3,6,1,3,3,1,5,1,4,7,25,4,2.75,1,0,1,0,0,0,1,2,1,1,708
